"Metadata_Series","Metadata_T","ImageNumber","Intensity_MeanIntensity_pulse","Metadata_Experiment","RealTime","Stim_All_Ch","Stim_All_S"
0,46,47,0.00639632437378,"20170629_10min_FGF250_25_2-5_0-25_coll",92,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,47,48,0.0063094352372,"20170629_10min_FGF250_25_2-5_0-25_coll",94,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,48,49,0.00575520703569,"20170629_10min_FGF250_25_2-5_0-25_coll",96,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,49,50,0.00596648035571,"20170629_10min_FGF250_25_2-5_0-25_coll",98,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,50,51,0.00632901256904,"20170629_10min_FGF250_25_2-5_0-25_coll",100,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,51,52,0.00650310050696,"20170629_10min_FGF250_25_2-5_0-25_coll",102,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,52,53,0.00649544084445,"20170629_10min_FGF250_25_2-5_0-25_coll",104,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,53,54,0.0064852447249,"20170629_10min_FGF250_25_2-5_0-25_coll",106,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,54,55,0.00641715526581,"20170629_10min_FGF250_25_2-5_0-25_coll",108,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,55,56,0.00652600405738,"20170629_10min_FGF250_25_2-5_0-25_coll",110,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,56,57,0.00653163716197,"20170629_10min_FGF250_25_2-5_0-25_coll",112,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,57,58,0.00653754966334,"20170629_10min_FGF250_25_2-5_0-25_coll",114,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,58,59,0.00641103694215,"20170629_10min_FGF250_25_2-5_0-25_coll",116,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,59,60,0.00644227769226,"20170629_10min_FGF250_25_2-5_0-25_coll",118,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,60,61,0.00653004646301,"20170629_10min_FGF250_25_2-5_0-25_coll",120,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,61,62,0.00652921898291,"20170629_10min_FGF250_25_2-5_0-25_coll",122,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,62,63,0.00584273645654,"20170629_10min_FGF250_25_2-5_0-25_coll",124,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,63,64,0.0065330658108,"20170629_10min_FGF250_25_2-5_0-25_coll",126,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,64,65,0.0065251570195,"20170629_10min_FGF250_25_2-5_0-25_coll",128,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,65,66,0.00654398836195,"20170629_10min_FGF250_25_2-5_0-25_coll",130,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,66,67,0.00654955022037,"20170629_10min_FGF250_25_2-5_0-25_coll",132,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,67,68,0.0063674012199,"20170629_10min_FGF250_25_2-5_0-25_coll",134,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,68,69,0.00656129606068,"20170629_10min_FGF250_25_2-5_0-25_coll",136,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,69,70,0.00640798360109,"20170629_10min_FGF250_25_2-5_0-25_coll",138,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,70,71,0.0065571856685,"20170629_10min_FGF250_25_2-5_0-25_coll",140,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,71,72,0.00656543718651,"20170629_10min_FGF250_25_2-5_0-25_coll",142,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,72,73,0.00655776960775,"20170629_10min_FGF250_25_2-5_0-25_coll",144,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,73,74,0.00657138507813,"20170629_10min_FGF250_25_2-5_0-25_coll",146,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,74,75,0.00655620731413,"20170629_10min_FGF250_25_2-5_0-25_coll",148,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,75,76,0.00657001137733,"20170629_10min_FGF250_25_2-5_0-25_coll",150,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,76,77,0.00658082496375,"20170629_10min_FGF250_25_2-5_0-25_coll",152,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,77,78,0.00658024614677,"20170629_10min_FGF250_25_2-5_0-25_coll",154,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,78,79,0.00659013260156,"20170629_10min_FGF250_25_2-5_0-25_coll",156,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,79,80,0.00649861060083,"20170629_10min_FGF250_25_2-5_0-25_coll",158,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,80,81,0.00659198639914,"20170629_10min_FGF250_25_2-5_0-25_coll",160,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,81,82,0.00653066067025,"20170629_10min_FGF250_25_2-5_0-25_coll",162,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,82,83,0.00657751224935,"20170629_10min_FGF250_25_2-5_0-25_coll",164,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,83,84,0.00608655437827,"20170629_10min_FGF250_25_2-5_0-25_coll",166,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,84,85,0.00648656766862,"20170629_10min_FGF250_25_2-5_0-25_coll",168,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,85,86,0.00659331586212,"20170629_10min_FGF250_25_2-5_0-25_coll",170,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,86,87,0.0065149012953,"20170629_10min_FGF250_25_2-5_0-25_coll",172,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,87,88,0.00645813392475,"20170629_10min_FGF250_25_2-5_0-25_coll",174,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,88,89,0.00651322538033,"20170629_10min_FGF250_25_2-5_0-25_coll",176,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,89,90,0.00645035505295,"20170629_10min_FGF250_25_2-5_0-25_coll",178,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,90,91,0.00661469204351,"20170629_10min_FGF250_25_2-5_0-25_coll",180,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
1,0,182,0.00570983020589,"20170629_10min_FGF250_25_2-5_0-25_coll",0,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,1,183,0.00564734591171,"20170629_10min_FGF250_25_2-5_0-25_coll",2,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,2,184,0.00574912223965,"20170629_10min_FGF250_25_2-5_0-25_coll",4,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,3,185,0.00521987164393,"20170629_10min_FGF250_25_2-5_0-25_coll",6,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,4,186,0.0056976787746,"20170629_10min_FGF250_25_2-5_0-25_coll",8,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,5,187,0.00579571165144,"20170629_10min_FGF250_25_2-5_0-25_coll",10,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,6,188,0.00520998938009,"20170629_10min_FGF250_25_2-5_0-25_coll",12,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,7,189,0.00572762731463,"20170629_10min_FGF250_25_2-5_0-25_coll",14,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,8,190,0.00576037261635,"20170629_10min_FGF250_25_2-5_0-25_coll",16,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,9,191,0.00570328347385,"20170629_10min_FGF250_25_2-5_0-25_coll",18,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,10,192,0.00572504429147,"20170629_10min_FGF250_25_2-5_0-25_coll",20,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,11,193,0.00584910996258,"20170629_10min_FGF250_25_2-5_0-25_coll",22,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,12,194,0.00534679507837,"20170629_10min_FGF250_25_2-5_0-25_coll",24,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,13,195,0.00527650956064,"20170629_10min_FGF250_25_2-5_0-25_coll",26,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,14,196,0.00589571101591,"20170629_10min_FGF250_25_2-5_0-25_coll",28,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
